parkCode,name,totalSites,latitude,longitude,numberOfSitesFirstComeFirstServe,numberOfSitesReservable,description,operatingHours,reservationInfo,id,reservationUrl
asis,Back Country Camping - Tingles Island,1,38.1777115,-75.1754318,1,0,Bayside back country site,"[{'exceptions': [], 'description': 'Open year round. Closures are subject to weather conditions and hunting seasons.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Back Country Camping - Tingles Island'}]",Reservations are not accepted due to changing weather conditions.,B9AF19E6-8B7F-482F-AFB7-E606FFD4BA4E,
asis,Back Country Camping - Pine Tree,1,38.1432381,-75.1883865,1,0,Bay side back country campsite,"[{'exceptions': [], 'description': 'Primitive back country site. Open year round. Closures are subject to weather conditions and hunting seasons.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Back Country Camping - Pine Tree'}]",Reservations are not accepted due to changing weather conditions.,BEAF9758-4BAB-4FE7-A6C0-7336362BDE42,
asis,Back Country Camping - Green Run,1,38.0799523,-75.2135101,1,1,Bayside back country site,"[{'exceptions': [], 'description': 'Open year round. Closures are subject to weather conditions and hunting seasons', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Back Country Camping - Green Run'}]",Reservations are not accepted due to changing weather conditions.,43CF9CC2-4B3F-496F-9587-26F98A454217,
badl,Cedar Pass Campground,0,43.743917,-101.949839,0,96,"Located near the Ben Reifel Visitor Center, the Cedar Pass Campground has 96 level sites with scenic views of the badlands formations.  This campground offers flush toilets and coin operated showers in the summertime.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-10-15', 'name': 'Closed for the Season', 'endDate': '2020-04-01'}], 'description': 'Cold running water, flush toilets, and covered picnic tables are available.\n\nA limited section of the campground is open during the winter months.\n\nFour campsites are available in the Cedar Pass Campground for organized groups with a designated leader.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Cedar Pass Campground'}]","This campgrounds is managed by Forever Resorts, Badlands park concessionaire.",92F73FF4-10AB-45D0-915E-AC0A063420E2,http://cedarpasslodge.com/campground/
badl,Sage Creek Campground,0,43.743917,-101.949839,0,0,Sage Creek Campground is a primitive campground.  There is no charge to stay here and camping is available on a first come first serve basis.  The campground rarely fills to capacity.,"[{'exceptions': [], 'description': ""Bison often wander through this primitive campground, located on the west side of the park's North Unit. Access is located off of the Sage Creek Rim Road, an unpaved road that may temporarily close after winter storms and spring rains. The road provides limited turnarounds for large recreational vehicles. Camping is free of charge. Pit toilets and covered picnic tables are available, but no water is available on-site. A portion of the Sage Creek Campground is designated for horse use."", 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Sage Creek Campground'}]","We do not take reservations for this campground.  Camping is on a first come, first serve, basis.",2925BA89-CCF3-440F-B987-105578F89025,
band,Juniper Campground,52,43.579823,-111.734991,50,2,"3 loop, 52 site campground near the entrance to the monument","[{'exceptions': [], 'description': 'Self serve campground open 24 hours', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Juniper Campground'}]",Only group sites are reservable. all other sites on first come first served basis,B4212C55-8FAB-495E-9A12-DE6D57EB91D4,http://www.recreation.gov/camping/juniper-campground/r/campgroundDetails.do?contractCode=NRSO&parkId=72443
band,Ponderosa,2,43.579823,-111.734991,0,2,"Ponderosa group campground is open year round, with water available May - October only. Site is available by reservation only.","[{'exceptions': [], 'description': 'By reservation only', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Ponderosa'}]",The 2 sites are available by reservation only,344FA89E-5F8A-49FC-A1E2-7F584B355393,http://www.recreation.gov/camping/ponderosa-campground-nm/r/campgroundDetails.do?contractCode=NRSO&parkId=72442
bibe,Rio Grande Village Campground,100,29.180207,-102.957228,40,60,"Set in a large grove of Cottonwood trees, the campground is adjacent to the Rio Grande. The RGV campstore and showers are within walking distance.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-04-02', 'name': 'Closed for coronavirus', 'endDate': '2020-06-14'}], 'description': 'Open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Rio Grande Village Campground'}]",60 sites are reservable November 1 through April 15. Contact www.reservations.gov or call 1-877-444-6777.,2940AF6F-D2F2-4AEE-91E3-1D0DDDA7B84B,https://www.recreation.gov/camping/campgrounds/234035
bibe,Rio Grande Village RV,25,29.182659,-102.963404,5,20,"Open, paved lot with grassy, tree-lined edges. Adjacent to the camp store. This campground, operated by Forever Resorts, has the only full hook-ups in the park.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-04-02', 'name': 'Closed due to Coronavirus', 'endDate': '2020-06-14'}], 'description': 'Open year round. 25 campsites. Concession-operated RV park with full hook-ups (water, electrical, sewer).', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Rio Grande Village RV'}]","20 sites available for reservations, 5 available on first come/first served basis. Register at the Rio Grande Village store/service station, or call 1-877-386-4383, or 432-477-2293.",6134A1E6-4A8B-473E-9FA5-7DAEEAA3FD14,
bibe,Chisos Basin Campground,60,29.276088,-103.30209,20,40,"The scenic Chisos Basin campground is surrounded by tall, rocky cliffs, and conveniently located near some of the park's most spectacular and popular trails.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-04-01', 'name': 'Closed due to Coronavirus', 'endDate': '2020-06-14'}], 'description': 'Open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Chisos Basin Campground'}]","40 sites reservable up to 180 days in advance.
Contact www.recreation.gov or call 1-877-444-6777",127199AC-A753-4B49-B3FF-1F8484B61CBE,https://www.recreation.gov/camping/campgrounds/234038
bibe,Cottonwood Campground,0,29.137377,-103.523125,0,0,"Cottonwood is a quiet, shady desert oasis located between the Castolon Historic District and the scenic Santa Elena Canyon.","[{'exceptions': [{'exceptionHours': {'wednesday': 'Closed', 'monday': 'Closed', 'thursday': 'Closed', 'sunday': 'Closed', 'tuesday': 'Closed', 'friday': 'Closed', 'saturday': 'Closed'}, 'startDate': '2020-04-02', 'name': 'Closed due to Coronavirus', 'endDate': '2020-06-14'}], 'description': 'Cottonwood Campground is open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Cottonwood Campground'}]",,D7143083-B16F-45C0-8493-E717CEDA7C3B,
bica,Afterbay Campground,40,45.31,-107.94,40,0,"- Open All Year!
- Starting August 1, 2019 there will be a $15 per night fee ($7.50 with Senior Pass)
- Near Fort Smith, Montana
- 28 RV and tent sites are located on the south shore of Afterbay lake, 12 RV and tent sites are located near Grapevine Creek on the north shore of Afterbay lake
- Composting vault toilets, RV dump station and drinking water available
- There are no RV hookups.","[{'exceptions': [], 'description': 'Open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Afterbay Campground'}]","First come, first serve basis.",4F9ED6A5-3ED1-443D-9E4C-859D7988F199,
bica,Black Canyon Campground,17,45.25,-107.96,17,0,"Black Canyon is a boat-in-only campground located five lake miles from the Ok-A-Beh boat ramp.

- Open All Year 
- 17 tent sites","[{'exceptions': [], 'description': 'Open year round.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Black Canyon Campground'}]","Black Canyon Campground is a first-come, first-served campground with no reservations.",A1C3F421-F571-4448-B105-EA5DE06AB1AB,
bica,Medicine Creek Campground,5,45.117,-108.2,0,0,"Medicine Creek campground is a boat-in or hike-in only campground.  It is approximately 3 miles north of Barry's Landing by land or water.

- Open All Year
- Lake level affects the proximity of the boat mooring to campsites",[],,59D597C2-D37E-41A8-AEBA-FA0D219280D4,
bica,Barry's Landing & Trail Creek Campground,30,45.1,-108.22,30,0,"Barry's Landing & Trail Creek campgrounds are located on the south district near Barry's Landing, 27 miles north of Lovell, WY on HWY 37.  

- Open All Year
- $15 per night
-14 RV sites, 16 tent sites
- Most RV sites are small for a 28 ft RV or smaller",[],All sites are first come first serve.,4EAF0F61-6361-4CAC-BB23-F93C5CF4A8E2,http://www.hiddentreasurecharters.com
bica,Horseshoe Bend Campground,48,44.96,-108.26,43,5,"- Open All Year
- 48 RV and tent sites
- 19 sites have water and electrical hook-ups.  The water is only available at these sites Memorial Day to Labor Day.  The electricity remain on year round.  
- 3 pull through sites
- Modern Restrooms, RV dump station and drinking water are available
- Swim beach and picnic less than 1 mile hike from the campground
- Horseshoe Bend Marina and boat docks less than 1 mile hike from the campground","[{'exceptions': [], 'description': 'Open year round. Campground host on site Memorial Day - Labor Day.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Horseshoe Bend Campground'}]","Most campsites are first come, first serve.  

There are 5 reservable sites.  Reservations online only.",13B7970B-039E-415E-900A-E1E1A2C7B032,http://www.horseshoebend-marina.com
bicy,Monument Lake,36,25.8684663,-81.1131315,0,36,"Monument Lake campground offers restrooms, drinking water and designated 26 RV and 10 tent sites. NO HOOKUPS for electricity, sewer or water are available at this campground.","[{'exceptions': [], 'description': 'Open August 15 through April 15', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Monument Lake'}]",Reservations may be made on recreation.gov or call 877-444-6777 in advance.  Any sites not reserved in advance are available on a first come first serve basis.,AC717D5E-F55A-4539-AC8E-4B4C5009ABBB,http://www.recreation.gov
bicy,Burns Lake,0,25.8931188,-81.2297697,0,15,Primitive camping with no water. Vault toilets available. This site provides day use picnic area and backcountry access parking. The campground accommodates 15 designated RV/tent sites.,"[{'exceptions': [], 'description': 'The campground is open August 15 through April 15.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Burns Lake'}]",Reservations may be made on recreation.gov or call 877-444-6777 in advance.  Any sites not reserved in advance are available on a first come first serve basis.,46473049-16E4-4629-A3AD-00E108D06584,http://www.recreation.gov
bicy,Bear Island Campground,40,26.1832397,-81.2474753,0,40,Primitive campground with no water. Vault toilets available. Forty designated sites. Access to the Bear Island Campground is at the end of a 20-mile secondary gravel road,"[{'exceptions': [], 'description': 'Sites 1-12 are open year-round.\nSites 13-40 are open August 15-April 15', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Bear Island Campground'}]",Reservations may be made on recreation.gov or call 877-444-6777 in advance.  Any sites not reserved in advance are available on a first come first serve basis.,CF03117B-0727-4497-885A-0C81227D2F11,http:www.recreation.gov
bicy,Gator Head,9,26.2238175,-81.2677557,9,0,"This is a primitive campground, which contains nine campsites. No water. Vault toilets are available. This  campground is accessible only by permitted off-road vehicles, biking or hiking.","[{'exceptions': [], 'description': 'The campground is open from August 15 through April 15.', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Gator Head'}]",No reservations are allowed.,EDF9CACD-CA15-478C-830B-581FB3A18BDE,
bicy,Midway Campground,36,26.2238175,-81.2677557,0,36,"This campground offers electric hookups for RV sites, dump station, flush toilets, and water. Each RV campsite has its own picnic table and hibachi style grill. Covered picnic areas are located around the lake for day use.","[{'exceptions': [], 'description': 'Open year round', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': 'Midway Campground'}]",Reservations may be made on recreation.gov or call 877-444-6777 in advance.  Any sites not reserved in advance are available on a first come first serve basis.,4C753B83-8E55-4969-A918-7CF37BEBEF34,http://www.recreation.gov
bicy,Mitchell's Landing,11,26.2238175,-81.2677557,0,11,Primitive camping with no water. Vault toilets are available. Eleven sites available. Access to the Mitchell Landing Campground is along a secondary gravel road.,"[{'exceptions': [], 'description': 'Open August 15 through April 15', 'standardHours': {'wednesday': 'All Day', 'monday': 'All Day', 'thursday': 'All Day', 'sunday': 'All Day', 'tuesday': 'All Day', 'friday': 'All Day', 'saturday': 'All Day'}, 'name': ""Mitchell's Landing""}]",Reservations may be made on recreation.gov or call 877-444-6777 in advance.  Any sites not reserved in advance are available on a first come first serve basis.,60569FBD-2B27-45BD-9FF7-68722E5BF02D,http://www.recreation.gov
