category,description,id,parkCode,title,url
Park Closure,"We are working to increase access to the park in a phased approach. Allegheny Portage Railroad National Historic Site Visitor Center is open starting June 19, 2020. The Visitor Center theater, Engine House 6 and the Lemon House are temporarily closed.",D5FEF62D-9207-8543-069EEE664517EF7C,alpo,Recreational access increased-some locations closed due to COVID- 19,
Information,"June 12, 2020- Visitor Center will resume normal operating hours, seven days a week 8:00am-4:30pm. Visitors are encouraged to follow social distancing guidelines. Masks are required.",97B71A92-0DFC-F547-2B40D282F28D6B6C,amis,Visitor Center Now Open,https://www.nps.gov/amis/planyourvisit/hours.htm
Caution,"Samples collected from Lake Amistad in 2018 tested positive for zebra mussel DNA. All subsequent samples have been negative. Boaters are advised to Clean, Drain and Dry all boats and equipment. Click the link to learn more:",87005A1E-E6C3-EE00-0151679829BFF942,amis,Zebra Mussel Alert,https://www.nps.gov/amis/learn/aquatic-invasive-species.htm
Information,"June 1, 2020- Rough Canyon and Spur 406 campgrounds re-opened. Visitors are highly encouraged to social distance (at least 6 feet) from others. If visitors do not comply with the CDC guidelines, these areas may close again.",6896573D-C13E-5776-E6A870AE8072A6E6,amis,Rough Canyon and Spur 406 Campgrounds Open,
Information,"May 29, 2020- To schedule a fishing tournament date, please contact Ranger Activities Technician, Kaci Messenger, at kaci_messenger@nps.gov. ",6AC498A5-ABD6-26D2-D2DF2CBD7AE2E6CC,amis,Fishing Tournaments May Resume,
Information,"May 22, 2020- Governors Landing and Spur 454 to San Pedro Cliffs day use areas re-opened. Visitors are highly encouraged to social distance (at least 6 feet) from others. If visitors do not comply with the CDC guidelines, these areas may close again.",61A0EB2B-A80E-5F97-9C54D1381DC50E3F,amis,Day Use Areas at Governors Landing and Spur 454 Now Open,
Caution,Texas Parks & Wildlife Department is implementing a containment strategy designed to limit the spread of Chronic Wasting Disease from Val Verde County. TPWD will continue to respond to reports of sick deer.,3B9A5674-C3B4-8FD3-D03D309FFFA397A2,amis,Val Verde County White-Tailed Deer Tests Postive for Chronic Wasting Disease,https://tpwd.texas.gov/huntwild/wild/diseases/cwd/
Park Closure,"June 12, 2020- In accordance with the President’s Coronavirus Guidelines for America and CDC regulations regarding COVID-19, group & some regular campgrounds will remain closed until further notice. For details please see the link provided.",178E6162-AD2F-FFA9-46D7B42BEDAD40B7,amis,Group Campground and Some Regular Campgrounds Closure,https://www.nps.gov/amis/planyourvisit/hours.htm
Park Closure,"May 21, 2020- Due to groups not maintaining social distance (at least 6 feet) from others, the picnic areas at the Viewpoint Cliffs, Rough Canyon, 277 North, 277 South, San Pedro Campground, Black Brush, and the Pecos are closed until further notice.",1E644848-D8A6-C7EB-55945223FA430149,amis,Closure of Picnic Areas,
Information,"May 1, 2020- Boat ramps & hiking trails remain open. Visitors are encouraged to follow CDC social distancing guidelines (keeping at least 6 ft from other visitors). Restrooms at Diablo East, Rough Canyon, Box Canyon, and Pecos boat ramps have re-opened.",1E6CC1EE-F23C-0E34-E35CF60614F2A89E,amis,Boat Ramps and Hiking Trails Remain Open,
Information,"May 29, 2020- Lake use passes are now required and can be purchased at automated fee machines located at Diablo East and Rough Canyon. Exchanges for annual passes bought at this time will be honored when Visitor Center reopens.",CBE8FAF9-B58C-9381-F8F0087648B9C21F,amis,Park Fees Resume,
Park Closure,"In concurrence with CNMI emergency guidance the park is closed to all activities except individual use for purposes of exercise and wellness and shoreline subsistence fishing, subject to social distancing requirements between 4:00 am - 12:00 am.",068846BA-002C-18C6-D0C6AD7C14039B18,amme,Temporary Park Closure Advisory,
Information,"There is a water main failure at the AREC requiring a complete system shut down. Consequently, the restrooms attached to the exterior of the building, the only public restrooms in the park, will also close. A time for service restoration is not known.",3C95FD1B-F2AE-775D-628073708DF5C12E,anac,Emergency water shut off at the Aquatic Resources Education Center (AREC),
Information,"Learn more about current detours in Anacostia Park via South Capitol St., Howard Road, and Nicholson St.",6587841F-1DD8-B71B-0B9FBA38008392F0,anac,Road Closures and Detours - Long Term Construction,https://www.nps.gov/anac/planyourvisit/find-your-way-to-anacostia-park.htm
Park Closure,"Following guidance from the CDC and public health officials, some National Capital Parks-East sites are open to walk in visitation. Playgrounds, restrooms, and other facilities remain temporarily closed. Please visit safely. Click MORE for details.",C8E9B85A-FAB6-4327-C6204E5063559740,anac,National Capital Parks-East Operations Modified as Part of COVID 19 Response,https://www.nps.gov/nace/planyourvisit/conditions.htm
Park Closure,We are working to increase access to the park in a phased approach. All park grounds are open. The National Prisoner of War Museum and all buildings and public restrooms remain closed. Committal services will resume with restrictions.,6F98A206-D701-E691-43603D122E89984F,ande,Phased reopening - some locations closed due to COVID-19,https://www.nps.gov/ande/learn/news/andersonville-national-historic-site-increasing-access.htm
Park Closure,"Andrew Johnson NHS will begin expanding limited visitor services Monday, June 22nd. The park Visitor Center, Memorial Building, and Early Home will open at 9 am and close at 4 pm, Monday through Friday only. The Homestead will remain closed at this time.",2E3BE850-CCB9-7820-81F83BC34D7E951E,anjo,Park Visitor Services,
Caution,"Due to the narrow roadway & tight turn, RVs, mobile homes, charter buses, delivery trucks, or vehicles with trailers are prohibited from the crest of Monument Hill. Check for information about parking at the Visitor Center upon your arrival.",EA232A63-0890-64D9-F0BD85F7E052BAA5,anjo,Notice to travelers to National Cemetery,
Park Closure,"As a public health precaution, the visitor center is temporarily closed until further notice. Park grounds, including roads and trails, will remain open. The park is accessible but plan ahead because bathrooms are not available.",1CDF689B-F801-79A3-4E60345C2E286DBA,anti,Antietam Battlefield Visitor Center Closed,
Park Closure,"The Observation Tower, located along the Sunken Road, will be closed until approximately July 2020.  Much needed repairs will be completed to the interior of this structure.  Please contact the visitor center with any questions at 301 432-5124.",CA484D1F-ADAA-8D2F-07183AC551B49645,anti,Observation Tower is closed,
Park Closure,"We are working to increase access to the park in a phased approach. Park grounds, trails, and Clover Hill Tavern restrooms will be open daily from 9-5 with some orientation and interpretation. The visitor center and many historic buildings are closed.",6D40C945-F3C2-A4A2-8C7402D131EBB299,apco,Phased reopening – some locations closed due to COVID-19,https://www.nps.gov/apco/planyourvisit/conditions.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, overnight camping is closed until further notice.",82CCAE40-FC0C-9576-9C87EEFF5B0EB039,apis,Overnight Island Use is closed until further notice.,https://www.nps.gov/apis/planyourvisit/conditions.htm
Information,"Reminder: There are private holdings on the southeast corner of Sand Island, and just north of Group Site A on Rocky Island. It is trespassing to be on their property, including their docks. Stay out of those clearly marked areas or you can be fined.",5D7507BF-1DD8-B71B-0BF00341B4063A87,apis,Private Property: Sand & Rocky Islands,
Park Closure,"This is an ongoing list of closures as the park evaluates storm damage.

Islands: York: Campsite privy is closed.",530B468C-1DD8-B71B-0B211580ED167D26,apis,Current Storm Damage Closures,
Park Closure,"This is an ongoing list of closures related to previous storm damage for public safety. 
Devils Island Dock & Campsite; All stairs & West Bay Club on Sand Island; Hokenson Dock at Little Sand Bay.

Partial closure of the East Bay dock at Sand Island.",4AC42190-0C74-4907-91BAF37E082B7EED,apis,Ongoing Storm Damage Closures,
Park Closure,"The Appalachian Trail Conservancy is keeping track of ALL updates regarding COVID-19 along the A.T., what is closed, and effects to hikers. For a state-by-state list of closures and restrictions, please visit ATC's COVID-19 website by clicking ""more"" >",E66B4627-F529-83D9-F0AAAC4154026E61,appa,A.T. COVID-19 (CORONAVIRUS) TRAIL CLOSURES,https://wildeast.appalachiantrail.org/explore/plan-and-prepare/hiking-basics/health/covid19/a-t-closures/
Information,"Parking lots and trails may be crowded. Avoid arriving 9 am to noon, when wait times at the entrance gate may exceed 30 minutes. When parking lots fill, staff may delay vehicles from entering the park for several hours.",4AF0FE56-B0DF-70E2-F8D1065E4FCD4CF2,arch,Expect Traffic Congestion,https://www.nps.gov/arch/planyourvisit/traffic.htm
Information,"As of Monday, June 15, Arches and Canyonlands resumed collecting park entrance fees. All park passes are available for purchase at park entrance stations.",39435029-91B0-2FFC-91E4A6CB28B96CFE,arch,Fee Collection Resumes,
Park Closure,"We are increasing access to the park in a phased approach. Arches National Park roads, trails, park store, and restrooms are open. The visitor center and campground remain closed. Entrance fees are being collected at the entrance station.",2251B567-B238-AF3E-E06499731D75125F,arch,Phased Reopening - some locations still closed due to COVID-19,https://www.nps.gov/arch/planyourvisit/conditions.htm
Park Closure,Arlington House is temporarily closed through Summer of 2020 for the multi-million dollar rehabilitation of the site.,4341F545-1DD8-B71B-0B87A799D60BB170,arho,Arlington House Closed Until Summer of 2020 for Rehabilitation,https://www.nps.gov/arho/learn/news/rehabilitation-of-arlington-house-entering-construction-phase.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Arkansas Post Visitor Center is temporarily closed. Park grounds remain open.",F751C2C2-BE49-C691-E46B6E362FE2D6FE,arpo,Arkansas Post Visitor Center is Temporarily Closed as of 4/1/2020,https://www.nps.gov/arpo/learn/news/arkansas-post-national-memorial-closes-visitor-center.htm
Caution,6-19-20: Expect temporary weekday closures of portions of parking lot #2 for restroom installation. The boardwalk leading from Toms Cove Visitor Center to parking lot #2 is closed.,83ADB382-08D8-6F8C-DF7BDCE430517D25,asis,Assateague Island National Seashore - Virginia District Closures,
Caution,"As of May 21, 2020: THERE ARE NO LIFEGUARDS ON DUTY. Swim at your own risk. We strongly recommend that visitors recreating in or near the water wear a U.S. Coast Guard approved life jacket. Please visit our Beach & Surf Safety page for more information.",32DF75B1-D364-7955-FE186301D36311F1,asis,Surf Lifeguard Operations - WARNING - No Lifeguards on Duty,https://www.nps.gov/asis/planyourvisit/surf-and-beach-safety.htm
Information,"Beginning June 15, 2020, Assateague Island National Seashore is increasing recreational access to campground services in the Maryland district.",039AEB12-FC43-E273-02EFB88FC095E468,asis,Assateague Island National Seashore Oceanside & Bayside Campgrounds open June 15,https://www.nps.gov/asis/learn/news/asis-news-release-phase-2.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the visitor center, museum, and bookstore are temporarily closed. The site remains open from 9-5.",83FCFFBB-0CF1-50E7-384D05B7C5F50CA0,azru,Visitor Center Temporarily Closed as of 3/18/20.,
Information,"Due to parking lot construction, Fossil Exhibit Trail is currently inaccessible.",68848896-B018-C71B-695EC130943D2C97,badl,Fossil Exhibit Trail inaccessible,
Information,"Fee collection has resumed at the park, more information about fees can be found on the main fees and passes page.",6067948C-CFDD-055E-F9DBB206EB54E904,badl,Resumption of Fee Collection,https://www.nps.gov/badl/planyourvisit/fees.htm
Park Closure,"We are working to increase access to the park in a phased approach. Trails, campgrounds, and roads in the north unit are open. Ben Reifel Visitor Center remains closed.  The south unit of the park is closed in accordance with Oglala Sioux Tribe ordinances",32AA904B-CD08-FC2A-AD76EFEE214529A1,badl,Phased reopening – some locations closed due to COVID-19,https://www.nps.gov/badl/planyourvisit/conditions.htm
Information,"Due to construction, Bigfoot Pass overlook, parking lot, and picnic area are inaccessible.",C5563706-A90E-4754-E3383A8CCFE2183C,badl,Bigfoot Pass Overlook inaccessible,
Information,"Bandelier is in a remote location, with cell service in the canyon limited to Verizon 4G only. Services like Uber and Lyft will bring you here, but there may be no way to contact a ride out. Please plan your pickup before being dropped off at Bandelier.",9206CFFB-1DD8-B71B-0B8F5B25B74E5C5C,band,"Uber, Lyft, and other ""Taxi"" services",
Park Closure,"Due to the increased risk of wildfire in the region, the Pueblo Parks Group, which includes Bandelier NM, Fort Union NM, Pecos NHP, and Valles Caldera National Preserve, will enter Stage II fire restrictions on Wednesday, May 20, 2020 at 8:00 AM.",A4DD9E1A-FAB4-F357-610EB7D06EB048FF,band,Bandelier and other parks enter stage 2 fire restrictions,https://www.nps.gov/band/learn/news/bandpress.htm
Caution,"Because of recent fires and forest die-back, some areas of the Monument can be dangerous during times of high winds. Use caution and stay alert when hiking on windy days, and backcountry camp well away from stands of dead or fire damaged trees.",14782F36-1DD8-B71B-0BCA86558413B16E,band,Strong Winds and Hazard Trees,
Caution,Visitors should check this website before visiting the park to see how trail and road construction will impact their visit from May through October 2020.,E7909E86-B9BD-EA0C-F838370CA53332F2,band,"Trail and Road Work Cause Delays and Closures Starting May 1, 2020",https://www.nps.gov/band/trailwork2020.htm
Park Closure,"On June 8, 2020 Bandelier will begin a phased reopening of some park resources that have been closed to the public since March 22nd due to COVID-19.",D5F3DE56-B422-B090-637328D5841252D0,band,"Bandelier National Monument increases recreational access to Frijoles Canyon on Monday, June 8, 2020",https://www.nps.gov/band/learn/news/reopen2.htm
Information,"Ongoing and weather permitting, workers may intermittently close one lane on the northbound and/or southbound sides of the Baltimore-Washington Parkway near Riverdale Road. Exit ramps and on ramps may also be affected.",82C91BA8-BA8A-0C88-E5090DA8217178BB,bawa,[ONGOING] Lane closures Purple Line construction at MD 410 - Riverdale Road,
Information,"Ongoing and weather permitting, National Park Service contractors will remove vegetation along the Baltimore-Washington Parkway from Beaver Dam Road (near the NASA exit) to Laurel-Bowie Road (MD 197). Work may happen any day of the week.",9363C72D-ECED-27EA-3719D20121A8D2C1,bawa,Vegetation removal between Beaver Dam Road and Rt 197,
Park Closure,"As of June 1st, Bering Land Bridge will begin increasing operations at park headquarters.  For the latest information, please contact us.",859B16D8-D9D2-037E-322C8684F84B5A91,bela,Changed Hours & Phased Reopening During COVID-19 Pandemic,https://www.nps.gov/bela/contacts.htm
Danger,"Due to COVID-19, facilities will have very limited cleaning and maintenance this summer.  Please follow CDC guidelines for social distancing and handwashing and visit at your own risk.",776902E5-A3F1-3956-EBE632E1095B74A1,bela,Bathhouse at Serpentine Hot Springs—Open as of June 1st,
Information,"Following guidance from the White House, CDC, and state & local public health authorities, Bent’s Old Fort National Historic Site plans to begin a phased approach to increase access & services. The fort will be open for self-guided tours starting 5/22/20.",CFC85D3A-CDF7-97E1-ECA0F1E6CBDE8D70,beol,Bent’s Old Fort National Historic Site Offers Self-guided Tours starting 5/22/20,https://www.nps.gov/beol/planyourvisit/hours.htm
Park Closure,"Following guidance from the CDC and recommendations from D.C. Public Health in consultation with NPS Public Health Service officers, Belmont-Paul Women's Equality NM is temporarily closed as of Mar. 14. Updates will be posted here and on social media.",68DE8FD3-958E-8F79-2F7745616FC34FAA,bepa,Belmont-Paul Women's Equality NM temporarily closed starting March 14,https://www.nps.gov/nama/planyourvisit/temporary-facilities-closure-advisory.htm
Park Closure,"Big Bend National Park is open. All paved roads, some improved dirt roads, and many hiking trails are open for desert exploration. Limited camping is available at reduced capacity. Lodge is closed. Details:",70EC382E-EC09-B340-B6506FE5AD95AA8A,bibe,Big Bend Open,https://www.nps.gov/bibe/planyourvisit/big-bend-covid-19-status-updates.htm
Danger,"Be prepared for extreme summer heat. Temps over much of the park exceed 100 degrees by late morning, and remain at dangerous levels until after sunset. Hikers should stay OFF trails in the afternoon. Carry and drink plenty of water.",9CE53CF1-D0A6-35E3-2E99827D0EB7B8F6,bibe,High Heat Warning,
Park Closure,"Closures as of June 5, 2020: North District, Fort Smith, MT: Ok-A-Beh Marina; Ok-A-Beh swim beach; Yellowtail Dam Visitor Center. 

South District, Lovell, WY: Visitor Center and Horseshoe Bend swim beach.",F20B3144-E892-E3A6-F28E1EEF38D8BFAF,bica,2019 Novel Coronavirus (COVID-19) Response,
Park Closure,"The Birmingham Civil Rights Institute, a Smithsonian affiliate, will temporarily close to the public starting Sunday, March 15th, as a public health precaution due to COVID-19 (Coronavirus). The institute has not announced a re-opening date at this time.",5ECF484E-D095-F04D-7461CC3FD6B4CE03,bicr,Birmingham Civil Rights Institute Closed Indefinitely,https://www.bcri.org/
Park Closure,"Big Cypress National Preserve remains open at this time. However, in order to protect  visitors and employees and minimize transmission of the coronavirus (COVID-19), visitor centers, campgrounds and associated restrooms are closed until further notice",1948030F-08C2-85C3-82B250602D56A62B,bicy,Big Cypress Roads & Trails Are OPEN.    Public Facilities Closed. Ranger Programs Cancelled.,https://www.nps.gov/bicy/learn/news/newsreleases.htm
Information,"ORV owners seeking a new Big Cypress ORV Permit can make appointments for a vehicle inspection beginning Friday, June 12, 2020. Inspections are ONLY available by appointment on Fridays at this time. Call: (239)695-1117 to make an appointment.",34A19C13-D3F8-E032-C35ECD17C0007F18,bicy,"New ORV Inspections by Appointment on Fridays Beginning June 12, 2020",
Park Closure,"The annual 60-day recreational Off-Road Vehicle closure is in effect from April 27th through   June 24, 2020. Due to recent fire activity and current drought conditions, dates were modified to an earlier start. Questions: (954)848-6740.",F0CA3325-C87F-8FCC-88FA0905867284DD,bicy,"Annual Off-Road Vehicle (ORV) Closure of Big Cypress National Preserve in Effect April 27, 2020",
Information,"There are no areas of ongoing, active transmission of Zika by mosquitoes in Florida, yet please take appropriate personal protection measures including the use of insect repellent and wearing long-sleeved shirts and long pants during your park visit.",0A624DA1-1DD8-B71B-0B010C099120ED6E,bisc,Precautions for Zika Virus,https://www.nps.gov/articles/zika-virus.htm
Information,"For further information about boating in Biscayne National Park, see Miami-Dade County Coronavirus (COVID-19) Emergency Orders",5DC1BD61-0B67-0D9D-238AB140A5EA34BB,bisc,Coronavirus Boating Activity,https://www.miamidade.gov/global/initiatives/coronavirus/emergency-orders.page
Information,"For further information about boating in Biscayne National Park, visit the Governor of the State of Florida's Excutive Orders",5E21023A-F900-C160-BEC136937C219813,bisc,Coronavirus Boating Activity,https://www.flgov.com/2020-executive-orders
Caution,Please use caution in park waters due to navigational markers that may be missing or moved because of Hurricane Irma.,40CBD3AE-1DD8-B71B-0B8C60D0372F14B2,bisc,Missing Navigational Markers,
Information,"For further information about boating in Biscayne National Park, see Florida Fish and Wildlife Conservation Commission Executive Orders",7DA10350-C2A1-8E59-37B4967F24E43624,bisc,Coronavirus Boating Activity,https://myfwc.com/about/inside-fwc/executive-orders/
Park Closure,"The kayak launch and restrooms at Convoy Point are open on a limited basis. Boca Chita, Elliott and Adams Keys are also open on a limited basis. The visitor center remains closed. Park waters remain open.",B950BD8C-E86B-481F-841A60264E823538,bisc,Coronavirus - Modification in Operations,
Information,"Because of damage to the Stiltsville houses after Hurricane Irma, public use of the houses is suspended until necessary repairs are made to the structures. All seven houses remain standing.",F3B15942-1DD8-B71B-0BB637349A121A27,bisc,Repair of Stiltsville Houses,http://stiltsvilletrust.org/
Park Closure,Rafting of marine vessels is prohibited until further notice in accordance with Miami-Dade County Emergency Order 08-20.,EEC3365D-B944-D930-30CD71DDC643AD0E,bisc,"Coronavirus - Modification in Operations March 21, 2020",
Information,"Currently, the use of drones is prohibited at Big South Fork and all National Parks. Detailed information about the policy is available...",B5021FEE-1DD8-B71B-0BDBFF48A6A46974,biso,The Use of Drones is Prohibited at Big South Fork National River & Recreation Area,https://www.nps.gov/policy/PolMemos/PM_14-05.htm
Information,Big South Fork National River & Recreation Area is Increasing Recreational Access to Park Trails and Backcountry beginning May 4.,9F09F12A-A8AD-3B9D-94E3461E69AF8639,biso,Coronavirus Update 5-3-20,https://www.nps.gov/biso/learn/news/big-south-fork-increasing-recreational-access-to-park-trails-and-backcountry.htm
Information,"Firewood ban is in effect for the park. Only firewood from the surrounding counties of  Scott, Morgan, Pickett, and Fentress, in Tennessee, and McCreary in Kentucky, can be brought into the park. Firewood is for sale or you may use dead and down wood.",85FDF60C-1DD8-B71C-0E445151F456192A,biso,Firewood ban is in effect for the park.,https://www.nps.gov/biso/planyourvisit/firewood-quarantine.htm
Information,"Black bears call Big South Fork NRRA home. Help keep them healthy and safe by storing all food, cooking items, feed, cosmetics and coolers properly stored when at campgrounds or in the backcountry.",865F2013-1DD8-B71C-0E38B42BE13C7442,biso,Black Bears at Big South Fork,https://www.nps.govhttps://www.nps.gov/biso/learn/nature/blackbear.htm
Park Closure,All Big South Fork visitor centers remain closed until further notice.,5C08A072-BBD6-300E-1F7E1626C6A2314B,biso,Big South Fork Visitor Centers Remain Closed,
Danger,"For visitor safety, the following road closures are in effect: 
Zenith (from horse crossing onward), Alum Ford Road, Leatherwood Ford North East parking area",205D6BA5-A5B8-3464-8F149EF3F20DC513,biso,Multiple road closures are in effect due to flooding caused by heavy rains,
Park Closure,The bridge over Turkey Creek just south of the Sandhill Loop Trail is closed due to flood damage.,E77B1BF7-0F9E-4F80-1CE87E09FF784C29,bith,Bridge Closure on Turkey Creek Trail,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Visitor Center is temporarily closed. The issuance of backcountry camping permits is suspended.",F6027373-CDF9-F4E6-7878A787757B4113,bith,Big Thicket National Preserve Visitor Center is temporarily closed as of 3/27/2020,
Park Closure,In response to recent vandalism and other concerns at this location the Lakeview Day Use Area (aka Lakeview Sandbar) will be closed indefinitely.,F1B2402D-ED52-0F37-16AEAB42FBC91E24,bith,Lakeview Sandbar and Day Use Area closed,
Park Closure,"South Rim Visitor Center is closed, but rangers are staffing a desk outside to issue permits, answer questions, and assist your visit. South Rim Drive, North Rim Drive and all viewpoints are open.",5A4610E2-B6A1-5E62-6CF4B6E200A360C8,blca,Covid-19 Closures,
Park Closure,The annual climbing closure for the protection of nesting Peregrine Falcons is in effect.,8CF5381D-99D2-FE03-EE371782F35C660E,blca,Annual Climbing Closure,https://www.nps.gov/blca/planyourvisit/climbingclosures.htm
Information,"South Rim - All loops OPEN, reservations strongly recommended for Loops A&B. North Rim - OPEN. East Portal - OPEN. Credit cards are the preferred method of payment for all campgrounds.",D3733311-E88D-3BAF-2107CF8F1BEFBFF2,blca,Campgrounds Status,
Caution,Dog walking restrictions in and around the South Rim Campground will be in effect June 8 - August 13 due to mule deer fawning.,D39232C5-ECCD-4004-C5DE8E8458EFEB1C,blca,Dog Walking Restrictions,
Park Closure,"National Park Service officials announced today that heavy rain over the past week has created multiple road hazards in the Roanoke, Virginia, area of the Blue Ridge Parkway that requires a road closure from Milepost 112.4 to Milepost 135.9.",6BD7ECBA-99B5-5CB8-0E6376498333E5F6,blri,Parkway Closed Near Roanoke Due to Slope Failure,https://www.nps.gov/blri/learn/news/roanoke_closure_05_22.htm
Park Closure,"Some parkway facilities are closed due to COVID-19. This includes all visitor centers, and campgrounds, as well as some concession operations and restrooms. Trails and most sections of the roadway remain open.",198AF7B5-C7A0-4D16-9CBBD31A5EE02356,blri,Parkway Status,https://www.nps.gov/blri/planyourvisit/roadclosures.htm
Information,"The health and safety of our visitors, staff, volunteers and partners is our number one priority. The CDC guidance for COVID-19 includes social distancing. We need the public’s cooperation to ensure our visitation patterns adhere to CDC recommendations.",19071979-C8FF-2FDE-33540E2279FFBD52,blri,COVID-19,https://www.nps.gov/blri/planyourvisit/roadclosures.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, The park is temporarily closed. Updates will be posted to the park website and social media.",2AD0C582-AA2A-D9AB-9F089A10D2942873,blrv,Blackstone River Valley National Historical Park is temporarily closed as of 3/16/2020,
Information,"While there are no facilities or campgrounds at Bluestone NSR, all campgrounds, restrooms, and visitor centers are temporarily closed at nearby New River Gorge National River.",5ACCB9FD-B823-4205-D5C2A1F9B1119D02,blue,COVID-19 Update,
Information,"The Museum of African American History, Abiel Smith School, and the African Meeting House are currently closed. For more information and updates visit the <a href=""https://www.maah.org/"" data-toggle=""modal"" data-target=""#myModal"" data-remote=""/common/commonspot/customcf/modals/modal_intercept.cfm?targetURL=https%3A%2F%2Fwww.maah.org%2F"">Museum of African American History website</a>.",58DF09A7-0220-6F66-47B8170107EEB4C6,boaf,Museum of African American History,
